station_key,date,month,day_of_week,public_holiday,school_holiday,daily_total,volume,hour,full_name,road_functional_hierarchy,lga,latitude,longitude,crash_count,crash_severity_sum,crash_injury_sum,crash_fatal_count,crash_wet_count
55306,2022-05-26 00:00:00+00,5,4,False,False,40946,342.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,0,0,0,0,0
55306,2022-05-27 00:00:00+00,5,5,False,False,41332,337.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,2,4,4,0,0
55306,2022-05-28 00:00:00+00,5,6,False,False,39783,818.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,3,5,4,0,1
55306,2022-05-29 00:00:00+00,5,7,False,False,33403,983.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,6,11,6,0,1
55306,2022-05-30 00:00:00+00,5,1,False,False,34370,254.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,1,2,2,0,0
55306,2022-05-31 00:00:00+00,5,2,False,False,37801,182.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,0,0,0,0,0
55306,2022-06-01 00:00:00+00,6,3,False,False,38864,205.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,0,0,0,0,0
55306,2022-06-03 00:00:00+00,6,5,False,False,39826,304.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,1,1,0,0,1
55306,2022-06-04 00:00:00+00,6,6,False,False,38677,668.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,1,2,1,0,0
55306,2022-06-05 00:00:00+00,6,7,False,False,31251,933.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,2,3,1,0,2
