station_key,station_id,traffic_direction_name,cardinal_direction_name,classification_type,year,period,traffic_count,data_availability,data_reliability
56602,100001,COUNTER,NORTH,ALL VEHICLES,2019,OFF PEAK,10830,-1,-1
56602,100001,COUNTER,NORTH,HEAVY VEHICLES,2019,ALL DAYS,1761,35,97
56602,100001,PRESCRIBED,SOUTH,ALL VEHICLES,2019,AM PEAK,4296,-1,-1
56602,100001,PRESCRIBED,SOUTH,HEAVY VEHICLES,2019,WEEKENDS,675,-1,-1
56602,100001,COUNTER,NORTH,ALL VEHICLES,2019,AM PEAK,6015,-1,-1
56602,100001,COUNTER,NORTH,ALL VEHICLES,2019,PM PEAK,4881,-1,-1
56602,100001,COUNTER,NORTH,LIGHT VEHICLES,2019,PUBLIC HOLIDAYS,14468,34,92
56602,100001,PRESCRIBED,SOUTH,HEAVY VEHICLES,2019,WEEKDAYS,2134,-1,-1
56602,100001,PRESCRIBED AND COUNTER,BOTH,LIGHT VEHICLES,2019,AM PEAK,9073,-1,-1
56602,100001,COUNTER,NORTH,LIGHT VEHICLES,2019,OFF PEAK,9710,55,95
56602,100001,PRESCRIBED,SOUTH,ALL VEHICLES,2019,WEEKDAYS,21448,-1,-1
56602,100001,PRESCRIBED AND COUNTER,BOTH,HEAVY VEHICLES,2019,OFF PEAK,2274,-1,-1
56602,100001,PRESCRIBED AND COUNTER,BOTH,HEAVY VEHICLES,2019,ALL DAYS,3517,-1,-1
56602,100001,COUNTER,NORTH,HEAVY VEHICLES,2019,PM PEAK,343,41,96
56602,100001,COUNTER,NORTH,LIGHT VEHICLES,2019,PM PEAK,4538,66,95
56602,100001,PRESCRIBED AND COUNTER,BOTH,HEAVY VEHICLES,2019,PM PEAK,769,-1,-1
56602,100001,PRESCRIBED,SOUTH,LIGHT VEHICLES,2019,AM PEAK,3742,68,94
56602,100001,PRESCRIBED,SOUTH,ALL VEHICLES,2019,PM PEAK,6509,-1,-1
56602,100001,PRESCRIBED,SOUTH,ALL VEHICLES,2019,OFF PEAK,10643,-1,-1
56602,100001,PRESCRIBED,SOUTH,HEAVY VEHICLES,2019,PUBLIC HOLIDAYS,481,13,100
56602,100001,COUNTER,NORTH,HEAVY VEHICLES,2019,WEEKENDS,661,-1,-1
56602,100001,PRESCRIBED AND COUNTER,BOTH,ALL VEHICLES,2019,PM PEAK,11390,-1,-1
56602,100001,PRESCRIBED AND COUNTER,BOTH,ALL VEHICLES,2019,AM PEAK,10311,-1,-1
56602,100001,PRESCRIBED,SOUTH,LIGHT VEHICLES,2019,PUBLIC HOLIDAYS,14835,37,100
56602,100001,COUNTER,NORTH,LIGHT VEHICLES,2019,ALL DAYS,19047,59,97
56602,100001,PRESCRIBED,SOUTH,LIGHT VEHICLES,2019,WEEKDAYS,19314,-1,-1
56602,100001,PRESCRIBED,SOUTH,LIGHT VEHICLES,2019,ALL DAYS,18951,60,97
56602,100001,PRESCRIBED,SOUTH,HEAVY VEHICLES,2019,AM PEAK,554,52,95
56602,100001,PRESCRIBED,SOUTH,ALL VEHICLES,2019,ALL DAYS,20707,-1,-1
56602,100001,COUNTER,NORTH,HEAVY VEHICLES,2019,WEEKDAYS,2147,-1,-1
56602,100001,PRESCRIBED AND COUNTER,BOTH,HEAVY VEHICLES,2019,WEEKENDS,1336,-1,-1
56602,100001,PRESCRIBED,SOUTH,LIGHT VEHICLES,2019,PM PEAK,6083,70,94
56602,100001,COUNTER,NORTH,LIGHT VEHICLES,2019,WEEKDAYS,19579,-1,-1
56602,100001,PRESCRIBED,SOUTH,LIGHT VEHICLES,2019,WEEKENDS,17547,-1,-1
56602,100001,PRESCRIBED AND COUNTER,BOTH,ALL VEHICLES,2019,WEEKENDS,36081,-1,-1
56602,100001,PRESCRIBED AND COUNTER,BOTH,ALL VEHICLES,2019,PUBLIC HOLIDAYS,30231,-1,-1
56602,100001,PRESCRIBED AND COUNTER,BOTH,HEAVY VEHICLES,2019,PUBLIC HOLIDAYS,928,-1,-1
56602,100001,PRESCRIBED AND COUNTER,BOTH,LIGHT VEHICLES,2019,ALL DAYS,37998,-1,-1
56602,100001,PRESCRIBED AND COUNTER,BOTH,HEAVY VEHICLES,2019,WEEKDAYS,4281,-1,-1
56602,100001,PRESCRIBED AND COUNTER,BOTH,HEAVY VEHICLES,2019,AM PEAK,1238,-1,-1
56606,10011,PRESCRIBED,WEST,HEAVY VEHICLES,2019,WEEKDAYS,2422,-1,-1
56606,10011,PRESCRIBED AND COUNTER,BOTH,ALL VEHICLES,2019,PM PEAK,19435,-1,-1
56606,10011,PRESCRIBED AND COUNTER,BOTH,ALL VEHICLES,2019,OFF PEAK,35441,-1,-1
56606,10011,PRESCRIBED AND COUNTER,BOTH,HEAVY VEHICLES,2019,ALL DAYS,3859,-1,-1
56606,10011,COUNTER,EAST,ALL VEHICLES,2019,ALL DAYS,32707,-1,-1
56606,10011,COUNTER,EAST,HEAVY VEHICLES,2019,OFF PEAK,1015,22,95
56606,10011,PRESCRIBED,WEST,LIGHT VEHICLES,2019,ALL DAYS,36828,87,95
56606,10011,PRESCRIBED AND COUNTER,BOTH,LIGHT VEHICLES,2019,ALL DAYS,67716,-1,-1
56606,10011,PRESCRIBED,WEST,LIGHT VEHICLES,2019,PUBLIC HOLIDAYS,29230,65,100
56606,10011,COUNTER,EAST,LIGHT VEHICLES,2019,AM PEAK,7050,99,94
